year, daya, temperature, temperatureT, psnsun_to_cpool, psnsun_to_cpool_T, psnshade_to_cpool, psnshade_to_cpool_T, limited, carbon limited Per
0, 184, 9.712, 8.47367, 0.00286316, 0.00295427, 0.00132648, 0.0015465, 0, 0
0, 185, 13.954, 11.6546, 0.0051147, 0.00529311, 0.00254318, 0.00310547, 0, 0.285714
0, 186, 13.0685, 11.0253, 0.00494609, 0.00532597, 0.00249015, 0.00314827, 0, 0.25
0, 187, 10.496, 9.02313, 0.00374033, 0.00385217, 0.00185515, 0.00216915, 0, 0
0, 188, 11.0245, 9.85121, 0.00411849, 0.00433595, 0.00208479, 0.00251544, 0, 0.142857
0, 189, 10.0815, 8.78965, 0.00341065, 0.00394709, 0.00170485, 0.00221307, 0, 0
0, 190, 12.105, 10.5267, 0.00569709, 0.00546741, 0.00315083, 0.00357226, 0, 0.357143
0, 191, 11.733, 10.4988, 0.00400743, 0.00419161, 0.00205335, 0.00247723, 0, 0.107143
0, 192, 10.0425, 8.66927, 0.00382181, 0.0035003, 0.00201291, 0.00207481, 0, 0
0, 193, 9.743, 7.07027, 0.00430476, 0.00388155, 0.00236979, 0.00244942, 0, 0.148148
0, 194, 10.3385, 8.66187, 0.00405787, 0.0042287, 0.00217805, 0.00260223, 0, 0.148148
0, 195, 11.467, 8.56104, 0.00499984, 0.00410321, 0.00279775, 0.00274973, 0, 0.259259
0, 196, 9.911, 9.01756, 0.00338539, 0.00385719, 0.0017846, 0.00228853, 0, 0
0, 197, 11.8805, 9.4124, 0.00440043, 0.0046896, 0.00238915, 0.00297873, 0, 0.111111
0, 198, 10.952, 8.99296, 0.00460574, 0.00467949, 0.00258618, 0.00300932, 0, 0.148148
0, 199, 14.0395, 10.8431, 0.00625832, 0.00549018, 0.00372436, 0.0042556, 0, 0.481481
0, 200, 13.5285, 11.1279, 0.00553034, 0.00551818, 0.00318849, 0.00394939, 0, 0.296296
0, 201, 10.8585, 9.35731, 0.00466115, 0.00463205, 0.00268521, 0.00309068, 0, 0.111111
0, 202, 13.4785, 11.8031, 0.00547273, 0.0057547, 0.00318812, 0.00410455, 0, 0.333333
0, 203, 12.1, 10.8396, 0.00366794, 0.004476, 0.00200286, 0.00280764, 0, 0.111111
0, 204, 11.011, 9.4929, 0.0035893, 0.00405598, 0.00198451, 0.00260052, 0, 0.037037
0, 205, 11.421, 9.44769, 0.00500722, 0.00489384, 0.00298346, 0.00339767, 0, 0.185185
0, 206, 11.5135, 9.43067, 0.00376754, 0.00372347, 0.00211327, 0.00249118, 0, 0.148148
0, 207, 11.1005, 8.53656, 0.00447499, 0.00379735, 0.002627, 0.00274774, 0, 0.222222
0, 208, 13.51, 10.5376, 0.00575267, 0.00508873, 0.00351838, 0.00412749, 0, 0.37037
0, 209, 12.623, 10.1268, 0.00499211, 0.00486871, 0.00298144, 0.00362288, 0, 0.222222
0, 210, 11.968, 9.87806, 0.00485983, 0.00528005, 0.00292732, 0.00381905, 0, 0.222222
0, 211, 13.3385, 10.9357, 0.00560978, 0.00547708, 0.00347826, 0.00435099, 0, 0.37037
0, 212, 11.1175, 9.0651, 0.00439341, 0.00435413, 0.00264868, 0.00311717, 0, 0.185185
0, 213, 12.5455, 10.296, 0.00567104, 0.00569143, 0.00361331, 0.00441464, 0, 0.333333
0, 214, 13.4265, 11.1949, 0.00503735, 0.00501896, 0.0030835, 0.00387966, 0, 0.296296
0, 215, 14.177, 11.7213, 0.00583533, 0.00567612, 0.00371916, 0.00466382, 0, 0.333333
0, 216, 13.7805, 11.4897, 0.00498372, 0.00521953, 0.00307256, 0.00408795, 0, 0.296296
0, 217, 15.9765, 12.93, 0.00634511, 0.00585371, 0.00416524, 0.00529979, 0, 0.518519
0, 218, 16.1075, 13.4256, 0.0066337, 0.00634921, 0.00445243, 0.0058555, 0, 0.592593
0, 219, 13.7515, 11.1115, 0.00476032, 0.00498412, 0.00296116, 0.0039859, 0, 0.259259
0, 220, 11.437, 9.60944, 0.00430339, 0.00470713, 0.00269765, 0.00351896, 0, 0.185185
0, 221, 11.2045, 8.77406, 0.00396725, 0.00415382, 0.00246816, 0.00314444, 0, 0.148148
0, 222, 10.934, 9.26494, 0.00414277, 0.00466104, 0.00262197, 0.00349817, 0, 0.111111
0, 223, 12.2385, 10.2859, 0.00546883, 0.00581298, 0.0036656, 0.00475282, 0, 0.333333
0, 224, 14.227, 11.5906, 0.00671168, 0.00649315, 0.00474517, 0.00600306, 0, 0.518519
0, 225, 15.53, 12.5596, 0.00665211, 0.00618668, 0.00466024, 0.00604233, 0, 0.555556
0, 226, 15.119, 12.2347, 0.0067208, 0.00649182, 0.00484907, 0.0065066, 0, 0.615385
0, 227, 11.6525, 9.56377, 0.00444177, 0.00490085, 0.00293343, 0.00391754, 0, 0.153846
0, 228, 12.609, 10.1707, 0.0051895, 0.00555913, 0.00354167, 0.00478464, 0, 0.307692
0, 229, 11.4765, 8.60508, 0.00484744, 0.00496173, 0.00332307, 0.00424005, 0, 0.269231
0, 230, 12.8935, 10.001, 0.00569104, 0.00527018, 0.00402874, 0.00494875, 0, 0.346154
0, 231, 10.2505, 8.59494, 0.0032283, 0.00377765, 0.00208808, 0.00288425, 0, 0.0384615
0, 232, 10.802, 8.83544, 0.00425177, 0.00422018, 0.00288917, 0.00355037, 0, 0.192308
