temp,c
34.65,4.9606
34.65,11.2243
34.64,1.26457
34.64,8.9757
34.64,10.8466
34.64,11.2618
34.64,11.2785
34.64,11.2989
34.64,11.3347
34.64,11.7279
34.63,4.62354
34.63,8.03631
34.63,10.8274
34.63,11.1779
34.63,11.5327
34.63,11.6794
34.625,6.91921
34.62,11.3048
34.62,11.3128
34.62,11.6936
34.61,10.4277
34.61,11.1572
34.61,11.3823
34.61,11.4938
34.61,11.6783
34.601,10.2105
34.6,5.32082
34.6,10.2191
34.6,11.2039
34.6,11.3119
34.6,11.5381
34.6,11.5467
34.6,11.687
34.597,10.4375
34.592,9.31586
34.59,10.892
34.59,11.3048
34.59,11.6355
34.58,11.239
34.57,-1.15705
34.57,8.61903
34.57,11.5719
34.564,11.4477
34.56,11.056
34.56,11.2414
34.56,11.356
34.553,11.4759
34.55,10.4737
34.55,11.4975
34.54,0.332005
34.54,4.30283
34.54,6.54176
34.54,7.89945
34.54,8.41416
34.53,4.7218
34.53,4.8983
34.53,11.1873
34.525,11.5695
34.523,9.10499
34.52,10.5064
34.52,11.3887
34.513,11.3825
34.513,11.5907
34.51,4.59371
34.51,8.34871
34.502,8.83103
34.5,8.42151
34.5,11.0756
34.5,11.3655
34.493,10.4968
34.49,1.60253
34.49,10.9654
34.49,11.3466
34.483,7.00721
34.48,11.222
34.47,3.8001
34.47,6.14109
34.47,10.6922
34.47,11.1128
34.47,11.5198
34.46,10.8951
34.46,11.0435
34.45,-1.65852
34.45,10.2315
34.45,11.276
34.45,11.3576
34.45,11.6019
34.45,11.6827
34.45,11.687
34.44,4.04234
34.44,4.40147
34.44,6.33038
34.44,7.80084
34.44,11.5915
34.44,11.6491
34.44,11.6692
34.43,10.0873
34.426,11.1287
34.42,-1.86228
34.42,6.59864
34.42,11.3011
34.418,8.62327
34.41,7.97032
34.41,9.01624
34.41,11.4491
34.4,-0.53389
34.4,8.92329
34.4,9.14116
34.4,11.101
34.4,11.5557
34.397,10.0286
34.39,11.6458
34.383,11.4391
34.38,-1.75379
34.38,8.9099
34.38,11.2474
34.38,11.3385
34.38,11.4862
34.38,11.5258
34.373,7.44273
34.373,9.56287
34.373,11.5144
34.37,10.5583
34.37,11.1863
34.37,11.3242
34.37,11.5752
34.369,11.45
34.367,11.4909
34.36,2.73831
34.36,9.77458
34.36,9.98557
34.36,11.0715
34.36,11.4135
34.36,11.5738
34.35,11.206
34.35,11.2103
34.35,11.3345
34.35,11.7032
34.349,11.3394
